ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation,Specific_food_categories,preferred_activities,Travel_Preferences,Preferred_cuisines,Climate_preference
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,C,spicy,"surfing,",",",Middle,"warm,"
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,D,exotic,scuba,"business,","Indian,","hot,"
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,D,"food,",scuba,"leisure,","Indian,","warm,"
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,B,"cuisine,","hiking,","leisure,","Western,","hot,"
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,C,spicy,"shopping,","business,","Eastern,",cold
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,C,"seafood,",tours,"leisure,","Chinese,","mild,"
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,D,"seafood,","surfing,",",","Eastern,","hot,"
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,B,dishes,"hiking,",adventure,"Chinese,","warm,"
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,D,dishes,"hiking,",adventure,"Western,","mild,"
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,C,"cuisine,","hiking,",adventure,"Eastern,","hot,"
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,C,dishes,tours,"business,",Middle,"mild,"
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,D,exotic,"diving,",",",Middle,cold
464144,Male,Yes,60,Yes,Artist,0.0,Average,4.0,C,"food,",tours,adventure,"Chinese,","mild,"
466911,Male,Yes,68,No,Executive,1.0,High,7.0,B,"food,","surfing,","leisure,","Chinese,","warm,"
462806,Male,Yes,52,No,Artist,0.0,Low,3.0,A,exotic,"surfing,","business,",Fusion,"warm,"
463426,Male,Yes,38,No,Executive,0.0,High,5.0,A,"seafood,",cultural,"business,","Indian,","mild,"
464065,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,B,"seafood,","hiking,","leisure,","Chinese,",cold
462979,Male,No,18,No,Doctor,1.0,Low,2.0,D,dishes,"surfing,","leisure,","Chinese,","hot,"
462834,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,D,exotic,tours,"leisure,",Fusion,"mild,"
460764,Male,No,86,No,Lawyer,1.0,Low,1.0,D,local,"diving,","business,","Eastern,","warm,"
460185,Male,No,25,No,Healthcare,9.0,Low,3.0,D,"cuisine,","surfing,","leisure,","Chinese,",cold
464406,Female,No,39,Yes,Artist,0.0,Low,1.0,A,"food,","shopping,","business,","Eastern,","hot,"
462059,Male,No,47,Yes,Artist,1.0,Low,1.0,C,exotic,tours,adventure,"Western,","warm,"
467905,Male,Yes,43,Yes,Executive,0.0,High,3.0,D,dishes,"hiking,","leisure,",Middle,"mild,"
461177,Male,Yes,36,No,Executive,8.0,Average,4.0,B,exotic,"hiking,","leisure,","Eastern,","warm,"
460765,Male,Yes,80,No,Lawyer,1.0,Low,1.0,D,local,cultural,"business,","Chinese,","warm,"
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,C,"food,",cultural,"leisure,","Western,","mild,"
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,A,"cuisine,",scuba,"leisure,","Eastern,","mild,"
464481,Male,Yes,46,Yes,Executive,0.0,High,3.0,C,"vegetarian,","diving,",",",Fusion,"hot,"
461011,Male,Yes,55,No,Executive,1.0,High,4.0,B,"seafood,","diving,","leisure,",Fusion,"warm,"
464749,Female,Yes,47,No,Engineer,9.0,Average,4.0,B,local,tours,",","Chinese,","mild,"
461094,Female,No,28,Yes,Healthcare,1.0,Low,3.0,D,"seafood,",scuba,",","Eastern,","warm,"
462104,Male,Yes,39,No,Entertainment,9.0,Low,2.0,D,local,cultural,",","Eastern,","hot,"
464524,Female,Yes,27,No,Marketing,1.0,Low,2.0,A,"vegetarian,",scuba,",","Eastern,","warm,"
461787,Male,Yes,72,Yes,Artist,0.0,Average,2.0,C,spicy,"diving,","business,","Eastern,",cold
467857,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,A,"seafood,","surfing,","business,","Chinese,","warm,"
460153,Male,No,35,Yes,Entertainment,8.0,Low,5.0,C,"seafood,",tours,"business,",Fusion,cold
465215,Male,Yes,39,Yes,Executive,9.0,High,5.0,A,local,tours,",",Middle,"mild,"
466746,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,C,"seafood,","surfing,","leisure,","Indian,",cold
464857,Male,No,18,No,Healthcare,6.0,Low,4.0,D,spicy,cultural,",","Eastern,","mild,"
460723,Female,Yes,50,Yes,Engineer,1.0,High,2.0,B,"seafood,",cultural,",","Western,",cold
459853,Male,No,30,No,Executive,5.0,Low,5.0,A,exotic,scuba,"business,","Eastern,","warm,"
460410,Female,No,39,Yes,Artist,3.0,Low,4.0,D,"cuisine,","hiking,","leisure,","Western,","hot,"
463823,Female,No,29,No,Marketing,8.0,Low,4.0,D,"cuisine,",cultural,"leisure,","Chinese,","hot,"
462008,Female,Yes,37,Yes,Artist,4.0,Low,4.0,B,"vegetarian,","diving,","business,","Eastern,","mild,"
459750,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,A,dishes,scuba,adventure,"Western,",cold
459880,Female,Yes,48,Yes,Artist,0.0,Average,5.0,C,"seafood,",cultural,"business,","Western,","mild,"
459261,Female,No,32,Yes,Doctor,0.0,Low,3.0,C,local,"diving,",adventure,Fusion,cold
465395,Female,Yes,43,No,Engineer,0.0,Average,5.0,B,dishes,cultural,",","Indian,","warm,"
461631,Male,No,29,No,Marketing,8.0,Low,5.0,C,spicy,"hiking,","leisure,","Western,",cold
464904,Female,Yes,28,No,Engineer,9.0,Average,2.0,A,"food,",scuba,",","Eastern,","warm,"
461740,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,B,exotic,"surfing,",adventure,Fusion,"hot,"
467092,Female,No,28,Yes,Healthcare,7.0,Low,4.0,D,"vegetarian,",scuba,"leisure,","Western,",cold
464173,Male,Yes,71,Yes,Artist,6.0,Average,3.0,C,spicy,cultural,",","Eastern,","hot,"
464972,Male,Yes,67,No,Lawyer,0.0,High,9.0,A,local,"surfing,","business,","Western,","warm,"
467959,Female,No,26,No,Engineer,0.0,Low,1.0,A,dishes,"hiking,",adventure,"Indian,","mild,"
467688,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,C,"cuisine,","hiking,",",","Chinese,","warm,"
460043,Female,Yes,43,Yes,Artist,2.0,Average,2.0,B,"vegetarian,",tours,adventure,Middle,"warm,"
466590,Female,No,27,Yes,Healthcare,0.0,Low,4.0,C,local,"hiking,",",","Chinese,","mild,"
461191,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,D,spicy,"surfing,",adventure,"Indian,","hot,"
465662,Male,Yes,76,No,Executive,1.0,Low,1.0,C,exotic,tours,"business,","Chinese,","warm,"
459231,Female,Yes,43,Yes,Artist,3.0,Average,4.0,C,exotic,scuba,"leisure,","Western,",cold
466495,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,B,spicy,"hiking,",adventure,Middle,"warm,"
459192,Male,Yes,35,Yes,Artist,3.0,Average,3.0,C,local,"surfing,",adventure,"Chinese,","warm,"
465710,Female,No,49,Yes,Artist,1.0,Low,1.0,C,local,tours,"business,","Eastern,","mild,"
460258,Female,No,25,Yes,Healthcare,1.0,Low,5.0,D,spicy,"diving,",adventure,"Chinese,",cold
462813,Male,Yes,37,No,Executive,0.0,Average,5.0,A,spicy,"shopping,",adventure,Fusion,"warm,"
467768,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,C,spicy,"hiking,",",","Indian,","warm,"
465291,Female,Yes,45,Yes,Artist,5.0,Average,3.0,C,local,"diving,",adventure,Middle,cold
462996,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,C,dishes,cultural,"leisure,","Eastern,","hot,"
463497,Male,No,32,Yes,Artist,0.0,Low,5.0,D,exotic,"surfing,","business,","Western,","mild,"
465301,Female,Yes,40,Yes,Artist,0.0,Low,3.0,B,"seafood,","surfing,",",","Western,","hot,"
464702,Male,Yes,59,No,Artist,2.0,Average,2.0,C,"vegetarian,","diving,",adventure,Middle,cold
459012,Male,Yes,48,Yes,Artist,3.0,Low,5.0,B,local,"shopping,",",","Chinese,","hot,"
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,C,spicy,"surfing,",adventure,"Eastern,","warm,"
459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,B,"vegetarian,","hiking,","business,","Eastern,","mild,"
464166,Male,No,31,Yes,Artist,5.0,Low,2.0,B,"seafood,",tours,"leisure,",Middle,cold
458987,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,C,dishes,tours,"leisure,",Fusion,cold
467745,Male,Yes,50,Yes,Artist,3.0,Average,4.0,C,"food,","diving,","leisure,",Middle,"mild,"
464866,Female,No,23,No,Engineer,11.0,Low,1.0,D,dishes,"hiking,",",","Indian,",cold
461081,Female,No,20,No,Healthcare,2.0,Low,6.0,D,dishes,tours,",",Fusion,"hot,"
467896,Female,No,22,No,Healthcare,4.0,Low,3.0,D,local,"diving,","leisure,","Western,","mild,"
463991,Female,No,31,Yes,Engineer,8.0,Low,1.0,A,"food,","surfing,",",","Eastern,","mild,"
466620,Female,Yes,36,Yes,Artist,7.0,Average,2.0,C,dishes,tours,adventure,"Indian,","mild,"
460697,Male,Yes,40,Yes,Artist,4.0,Average,4.0,C,spicy,"diving,",",","Chinese,",cold
467934,Female,No,40,Yes,Artist,1.0,Low,1.0,A,"cuisine,","shopping,","business,","Eastern,","hot,"
467910,Female,No,21,No,Doctor,1.0,Low,3.0,A,exotic,"hiking,",",","Western,",cold
467335,Female,Yes,41,No,Engineer,4.0,Average,2.0,D,"food,","surfing,","leisure,",Middle,"warm,"
460263,Male,Yes,40,Yes,Artist,0.0,Low,2.0,B,dishes,tours,adventure,"Indian,",cold
459340,Male,Yes,53,Yes,Artist,1.0,Average,3.0,B,exotic,"surfing,","leisure,","Chinese,",cold
465622,Female,Yes,42,Yes,Artist,5.0,Low,2.0,C,"vegetarian,","hiking,","leisure,","Chinese,","warm,"
459395,Male,Yes,42,No,Executive,8.0,Low,2.0,D,"vegetarian,",tours,"leisure,","Chinese,","mild,"
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,C,local,tours,adventure,"Western,",cold
466544,Male,Yes,41,Yes,Executive,1.0,Average,3.0,A,local,tours,"leisure,","Chinese,",cold
463610,Female,Yes,31,Yes,Artist,0.0,Average,2.0,A,"cuisine,","hiking,",",",Middle,"warm,"
465539,Female,Yes,49,Yes,Artist,1.0,High,5.0,B,exotic,scuba,adventure,"Chinese,",cold
459823,Male,Yes,67,Yes,Executive,1.0,Low,2.0,A,exotic,"surfing,",",","Eastern,","mild,"
467614,Male,Yes,35,No,Artist,4.0,Average,2.0,B,"seafood,","diving,","leisure,","Eastern,",cold
459073,Female,No,26,Yes,Healthcare,0.0,Low,3.0,C,"seafood,","shopping,","business,","Chinese,","hot,"
464863,Female,Yes,25,No,Engineer,6.0,Average,8.0,D,exotic,scuba,adventure,"Eastern,",cold
460022,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,A,dishes,cultural,"leisure,","Indian,","warm,"
459929,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,A,exotic,"surfing,","business,","Indian,",cold
466613,Male,No,23,No,Healthcare,8.0,Low,3.0,D,dishes,scuba,",","Eastern,","hot,"
461149,Female,No,23,No,Healthcare,0.0,Low,3.0,D,"food,",scuba,"business,","Eastern,","warm,"
466068,Female,Yes,53,Yes,Artist,2.0,Low,1.0,C,"food,",cultural,",",Fusion,"hot,"
461513,Male,No,33,Yes,Doctor,0.0,Low,2.0,B,local,"shopping,",adventure,"Western,",cold
466236,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,B,dishes,"surfing,",adventure,"Eastern,","mild,"
459664,Male,No,37,Yes,Artist,2.0,Low,1.0,B,exotic,scuba,",","Indian,","warm,"
461967,Female,No,20,No,Marketing,3.0,Low,4.0,C,local,cultural,"leisure,",Fusion,"hot,"
461710,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,C,"cuisine,","shopping,","leisure,",Fusion,"mild,"
462742,Male,No,18,No,Healthcare,0.0,Low,3.0,D,spicy,cultural,"leisure,","Chinese,",cold
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,C,local,scuba,"business,","Western,","mild,"
467515,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,A,dishes,scuba,"business,","Chinese,","hot,"
463429,Female,No,28,Yes,Artist,7.0,Low,3.0,A,"cuisine,","diving,",",","Eastern,","mild,"
464024,Male,No,20,No,Healthcare,0.0,Low,5.0,D,local,"hiking,",adventure,"Eastern,","warm,"
460691,Female,No,27,No,Homemaker,8.0,Low,1.0,D,"food,",cultural,"leisure,","Chinese,","warm,"
467271,Male,Yes,45,Yes,Artist,4.0,Average,4.0,B,"cuisine,","hiking,","leisure,","Eastern,","mild,"
465634,Male,No,25,Yes,Healthcare,1.0,Low,4.0,B,"cuisine,","diving,",",","Eastern,","warm,"
464801,Male,No,40,No,Marketing,1.0,Low,1.0,D,local,"shopping,",adventure,"Western,","warm,"
462036,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,B,"food,","shopping,",adventure,Fusion,"hot,"
460448,Female,No,38,Yes,Artist,9.0,Low,1.0,A,"seafood,","hiking,","leisure,","Indian,","mild,"
464464,Male,No,28,No,Healthcare,0.0,Low,4.0,C,"cuisine,",scuba,",","Western,","hot,"
462410,Female,No,32,No,Healthcare,1.0,Low,5.0,B,"cuisine,",scuba,"leisure,","Indian,","hot,"
459756,Female,Yes,56,No,Lawyer,1.0,High,4.0,B,"seafood,",scuba,"leisure,",Middle,cold
463789,Female,Yes,53,Yes,Artist,1.0,Low,2.0,C,"seafood,","hiking,","business,",Fusion,"mild,"
466947,Male,Yes,57,No,Executive,1.0,High,5.0,C,local,cultural,"leisure,","Eastern,","mild,"
464150,Female,Yes,59,Yes,Artist,0.0,Average,3.0,C,local,tours,"business,","Western,","mild,"
465693,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,A,dishes,scuba,",","Chinese,","hot,"
461670,Male,Yes,59,Yes,Artist,0.0,Average,6.0,C,"vegetarian,","hiking,",adventure,"Eastern,","mild,"
466768,Female,Yes,36,Yes,Artist,0.0,Low,4.0,C,"food,","shopping,",adventure,"Indian,","warm,"
461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,A,"cuisine,","hiking,",adventure,"Indian,","mild,"
462438,Male,No,22,No,Doctor,1.0,Low,3.0,D,"cuisine,",scuba,adventure,Middle,"warm,"
460704,Male,Yes,43,Yes,Artist,1.0,Low,2.0,B,local,"diving,",",","Chinese,","mild,"
464884,Male,Yes,41,Yes,Artist,1.0,Low,2.0,A,"cuisine,",cultural,adventure,Fusion,cold
467050,Female,No,21,No,Engineer,0.0,Low,5.0,B,dishes,"diving,","business,",Middle,cold
466176,Male,No,38,Yes,Doctor,8.0,Low,1.0,B,"food,","surfing,","business,","Indian,",cold
467773,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,C,"seafood,","surfing,",adventure,"Western,","warm,"
465425,Female,No,31,No,Engineer,1.0,Low,4.0,B,local,"surfing,",adventure,"Indian,","hot,"
462318,Female,Yes,82,No,Lawyer,0.0,Average,2.0,A,exotic,"surfing,","leisure,","Western,","hot,"
460197,Male,No,38,Yes,Artist,8.0,Low,3.0,A,exotic,"diving,","business,","Chinese,","warm,"
459375,Male,Yes,18,No,Executive,0.0,High,4.0,A,exotic,"surfing,",adventure,"Eastern,","warm,"
463862,Male,Yes,50,Yes,Artist,6.0,Average,3.0,C,spicy,cultural,"business,","Eastern,","mild,"
462721,Female,Yes,72,No,Lawyer,1.0,High,3.0,D,local,scuba,",",Middle,"mild,"
465809,Female,No,25,No,Homemaker,1.0,Low,7.0,B,dishes,tours,adventure,"Western,","mild,"
466915,Female,Yes,75,No,Entertainment,2.0,High,2.0,D,"cuisine,","surfing,","business,",Middle,"warm,"
467343,Male,No,72,Yes,Artist,1.0,Low,1.0,B,spicy,scuba,"leisure,","Western,","mild,"
466268,Female,Yes,72,Yes,Artist,0.0,Average,3.0,C,"vegetarian,","shopping,","leisure,","Chinese,","mild,"
464868,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,A,"cuisine,","surfing,",adventure,Middle,cold
464038,Male,Yes,40,Yes,Artist,1.0,Low,2.0,A,dishes,"surfing,",",","Eastern,","warm,"
460176,Female,No,28,Yes,Entertainment,0.0,Low,4.0,C,"cuisine,","diving,","leisure,","Indian,",cold
462161,Female,No,28,Yes,Doctor,0.0,Low,3.0,D,spicy,cultural,adventure,"Indian,","hot,"
464893,Male,Yes,43,Yes,Artist,0.0,Low,2.0,B,"cuisine,","diving,",adventure,"Eastern,","hot,"
464443,Female,Yes,35,Yes,Artist,1.0,Average,2.0,B,"food,",scuba,"leisure,","Chinese,","warm,"
467619,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,B,exotic,"surfing,","business,","Chinese,","mild,"
465974,Male,Yes,52,Yes,Executive,7.0,High,4.0,C,"food,","diving,","business,","Chinese,","warm,"
462075,Female,No,40,Yes,Artist,1.0,Low,1.0,B,local,"shopping,",adventure,Fusion,"hot,"
459494,Female,Yes,69,No,Engineer,9.0,Low,3.0,A,"food,","shopping,","leisure,",Middle,"mild,"
466921,Female,No,22,No,Healthcare,3.0,Low,3.0,D,local,tours,"business,","Indian,","hot,"
463544,Male,Yes,47,Yes,Executive,1.0,Average,4.0,C,"seafood,",scuba,",",Middle,"warm,"
461167,Male,Yes,29,Yes,Marketing,1.0,High,2.0,A,"vegetarian,",scuba,adventure,Middle,"mild,"
467364,Male,Yes,46,Yes,Artist,1.0,Average,3.0,C,"cuisine,",scuba,",",Middle,cold
462408,Male,No,32,Yes,Artist,1.0,Low,2.0,A,spicy,scuba,"leisure,","Eastern,","mild,"
466224,Female,No,38,Yes,Healthcare,0.0,Low,1.0,C,"vegetarian,","shopping,","leisure,","Western,",cold
465151,Male,Yes,59,Yes,Artist,0.0,Low,1.0,B,"food,","diving,",adventure,"Eastern,","warm,"
467216,Female,No,26,Yes,Entertainment,1.0,Low,1.0,D,"cuisine,","diving,","leisure,","Eastern,","warm,"
460586,Male,No,26,Yes,Healthcare,1.0,Low,2.0,A,local,"surfing,","business,","Chinese,","mild,"
461197,Male,No,28,No,Marketing,0.0,Low,1.0,D,spicy,"shopping,",adventure,"Chinese,","hot,"
462776,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,C,spicy,"hiking,","business,",Middle,"warm,"
464088,Male,No,27,No,Doctor,1.0,Low,3.0,D,"food,",scuba,"leisure,","Western,","warm,"
464695,Male,No,26,No,Engineer,0.0,Low,4.0,D,spicy,scuba,"leisure,","Eastern,","mild,"
462331,Female,No,31,No,Entertainment,0.0,Low,2.0,D,dishes,"hiking,",adventure,"Eastern,",cold
466523,Male,Yes,39,Yes,Executive,1.0,High,3.0,B,"cuisine,",tours,"leisure,",Middle,cold
465337,Female,Yes,43,No,Engineer,1.0,Low,3.0,A,"seafood,","shopping,",adventure,"Chinese,","hot,"
460834,Male,Yes,25,No,Doctor,1.0,Low,2.0,A,"seafood,",cultural,adventure,Middle,"warm,"
466824,Male,Yes,40,Yes,Artist,3.0,High,3.0,A,"vegetarian,","surfing,",",",Fusion,cold
461607,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,B,local,tours,"business,","Western,","mild,"
466999,Male,No,27,Yes,Healthcare,1.0,Low,3.0,D,"cuisine,","surfing,","business,","Chinese,",cold
